iter	Logloss
0	0.680906274
1	0.6694984801
2	0.6589712061
3	0.6492981891
4	0.6403549277
5	0.6320571697
6	0.6244020774
7	0.6173549841
8	0.6107373893
9	0.6047058239
10	0.5990890733
11	0.5938978026
12	0.589125104
13	0.5846458364
14	0.5805594855
15	0.5766809327
16	0.5731162904
17	0.569799543
18	0.5667512661
19	0.5639768881
20	0.5613544267
21	0.5589881743
22	0.5568029863
23	0.5547881034
24	0.5528400986
25	0.5510956822
26	0.5494556278
27	0.5479065704
28	0.5465138855
29	0.5452048721
30	0.5438936391
31	0.5426695468
32	0.5416646929
33	0.540705723
34	0.5397798947
35	0.5389535089
36	0.5381711489
37	0.5374698546
38	0.5368189683
39	0.5361953129
40	0.5356275593
41	0.5349649687
42	0.5343882963
43	0.533816498
44	0.5332917443
45	0.5328554339
46	0.5324815071
47	0.5320897556
48	0.5317444049
49	0.5313956127
50	0.5310364868
51	0.5307399379
52	0.5304425669
53	0.5301673902
54	0.5299074114
55	0.5295912489
56	0.5293737774
57	0.5291990569
58	0.5289846676
59	0.5288019076
60	0.5286406098
61	0.528485391
62	0.528338485
63	0.5281024839
64	0.5279088342
65	0.5277623186
66	0.527614098
67	0.5274902848
68	0.5272868262
69	0.5271586762
70	0.5270378215
71	0.5268615913
72	0.5266317881
73	0.5264764741
74	0.5263123881
75	0.5261344199
76	0.5260073538
77	0.5257592644
78	0.5256421737
79	0.5254532368
80	0.525365532
81	0.5252327966
82	0.5251351607
83	0.5249712471
84	0.524826826
85	0.5247477184
86	0.5246809767
87	0.5245983634
88	0.5245433365
89	0.5244453739
90	0.5243172981
91	0.5242434118
92	0.5240987782
93	0.5240229889
94	0.5239227004
95	0.5237770966
96	0.5236707173
97	0.5235445888
98	0.5234736888
99	0.5233211723
100	0.5231935222
101	0.5230813126
102	0.5229846119
103	0.5229252892
104	0.5227585644
105	0.5226842508
106	0.5225405853
107	0.5224803923
108	0.5223145765
109	0.5222581002
110	0.5221710991
111	0.5220879818
112	0.5220374463
113	0.5219498791
114	0.5218079024
115	0.5216178878
116	0.5214781345
117	0.5213876749
118	0.5213066693
119	0.5211607839
120	0.5210285877
121	0.5209560085
122	0.5209010997
123	0.5207995529
124	0.5206910292
125	0.5206064345
126	0.5203979603
127	0.5203021441
128	0.5202027619
129	0.5201486979
130	0.5200561739
131	0.519955837
132	0.5198318979
133	0.5197695058
134	0.51964289
135	0.5195267413
136	0.5194374901
137	0.5193111565
138	0.5191647773
139	0.5190268644
140	0.5189087155
141	0.5187666068
142	0.5187096768
143	0.5186041349
144	0.5185274399
145	0.5184770084
146	0.5183939616
147	0.5182835396
148	0.5181811724
149	0.5180872648
150	0.5179797025
151	0.5179165289
152	0.517862708
153	0.5177183278
154	0.517644525
155	0.5175150256
156	0.5174159887
157	0.5173520601
158	0.5172493319
159	0.5172023525
160	0.5170188451
161	0.5169521459
162	0.5169022679
163	0.5168508705
164	0.5167228656
165	0.516634175
166	0.5164913957
167	0.5163401308
168	0.5162151649
169	0.5161628277
170	0.5160427738
171	0.5159698987
172	0.5158591348
173	0.5157779071
174	0.5157209428
175	0.5156364105
176	0.5155173334
177	0.5154646479
178	0.5154307829
179	0.5153545924
180	0.5152495196
181	0.5151899362
182	0.5151229979
183	0.5150715625
184	0.5150251038
185	0.5148933027
186	0.5148332327
187	0.5146732251
188	0.514617546
189	0.5145089916
190	0.5143804977
191	0.5143179283
192	0.5142051873
193	0.5141363814
194	0.5140766134
195	0.5139355891
196	0.5138249046
197	0.513736682
198	0.5136548439
199	0.5135926904
200	0.5135107026
201	0.513458492
202	0.5133332252
203	0.5132353015
204	0.5131722336
205	0.5130845579
206	0.512971626
207	0.512889975
208	0.5127690415
209	0.5126690892
210	0.5126468925
211	0.5125779226
212	0.5124551162
213	0.512396482
214	0.5123071311
215	0.5121712463
216	0.512108879
217	0.5120188127
218	0.5119316782
219	0.5119109551
220	0.5118425446
221	0.5116990009
222	0.5116019012
223	0.511523863
224	0.5114303479
225	0.5113435003
226	0.5112666092
227	0.5111669732
228	0.5110720922
229	0.5109530474
230	0.5107946081
231	0.5106754838
232	0.5105922177
233	0.5104482069
234	0.5103168394
235	0.5102575092
236	0.5102474424
237	0.51017436
238	0.510070341
239	0.5100143571
240	0.509892285
241	0.509824027
242	0.5097475916
243	0.5097010299
244	0.5095962111
245	0.5094892298
246	0.5093895823
247	0.5093055125
248	0.5092487878
249	0.5091522715
250	0.509104622
251	0.5090112741
252	0.5089215782
253	0.5088409022
254	0.5087300801
