iter	Passed	Remaining
401	19865	29551
402	19880	29451
403	19895	29350
404	19909	29249
405	19925	29151
406	19940	29052
407	19955	28954
408	19970	28856
409	19986	28761
410	20000	28663
411	20017	28568
412	20032	28471
413	20048	28377
414	20062	28281
415	20078	28187
416	20093	28091
417	20108	27998
418	20135	27920
419	20171	27856
420	20193	27771
421	20215	27688
422	20231	27596
423	20262	27526
424	20286	27446
425	20308	27364
426	20342	27297
427	20372	27226
428	20394	27144
429	20413	27059
430	20431	26972
431	20446	26883
432	20461	26793
433	20475	26703
434	20491	26614
435	20508	26529
436	20522	26440
437	20536	26350
438	20550	26261
439	20564	26172
440	20579	26086
441	20597	26003
442	20611	25916
443	20626	25829
444	20640	25742
445	20655	25657
446	20670	25572
447	20686	25488
448	20700	25403
449	20716	25320
450	20732	25237
451	20750	25158
452	20764	25073
453	20780	24991
454	20795	24909
455	20812	24828
456	20826	24745
457	20842	24665
458	20856	24582
459	20872	24502
460	20887	24421
461	20901	24339
462	20916	24259
463	20931	24179
464	20948	24101
465	20963	24022
466	20980	23945
467	20996	23867
468	21012	23789
469	21026	23711
470	21043	23634
471	21057	23556
472	21074	23480
473	21088	23402
474	21104	23325
475	21117	23247
476	21137	23175
477	21153	23100
478	21170	23026
479	21186	22951
480	21203	22878
481	21221	22806
482	21237	22732
483	21251	22656
484	21265	22581
485	21282	22509
486	21298	22435
487	21312	22360
488	21331	22291
489	21348	22220
490	21368	22152
491	21386	22081
492	21402	22010
493	21416	21936
494	21431	21864
495	21445	21790
496	21459	21718
497	21473	21645
498	21486	21572
499	21502	21502
500	21516	21430
501	21529	21358
502	21542	21285
503	21557	21214
504	21570	21143
505	21584	21072
506	21597	21001
507	21612	20932
508	21627	20862
509	21641	20792
510	21655	20723
511	21669	20653
512	21683	20584
513	21697	20515
514	21711	20446
515	21725	20378
516	21740	20311
517	21754	20242
518	21768	20174
519	21781	20106
520	21795	20038
521	21810	19972
522	21826	19906
523	21841	19840
524	21855	19774
525	21871	19708
526	21884	19642
527	21900	19577
528	21914	19512
529	21929	19447
530	21944	19382
531	21961	19319
532	21979	19257
533	21994	19193
534	22008	19129
535	22023	19065
536	22038	19001
537	22051	18936
538	22065	18872
539	22079	18808
540	22093	18745
541	22108	18682
542	22123	18619
543	22138	18557
544	22153	18495
545	22170	18434
546	22186	18373
547	22202	18312
548	22217	18251
549	22233	18191
550	22251	18132
551	22270	18074
552	22286	18014
553	22303	17955
554	22323	17899
555	22351	17849
556	22376	17797
557	22396	17740
558	22413	17682
559	22428	17622
560	22442	17561
561	22457	17502
562	22471	17442
563	22486	17383
564	22500	17323
565	22514	17263
566	22529	17205
567	22543	17146
568	22558	17087
569	22573	17029
570	22589	16971
571	22605	16914
572	22621	16857
573	22640	16803
574	22658	16747
575	22679	16694
576	22703	16644
577	22719	16587
578	22740	16534
579	22756	16479
580	22776	16425
581	22795	16372
582	22812	16316
583	22829	16262
584	22845	16206
585	22862	16151
586	22876	16095
587	22892	16040
588	22906	15983
589	22921	15928
590	22936	15873
591	22951	15817
592	22965	15761
593	22979	15706
594	22994	15651
595	23009	15596
596	23024	15542
597	23043	15490
598	23061	15438
599	23079	15386
600	23094	15332
601	23113	15280
602	23132	15229
603	23149	15177
604	23168	15126
605	23181	15071
606	23197	15018
607	23212	14965
608	23225	14911
609	23240	14858
610	23255	14805
611	23268	14752
612	23282	14698
613	23297	14646
614	23314	14594
615	23330	14543
616	23349	14493
617	23370	14446
618	23393	14399
619	23414	14350
620	23436	14303
621	23453	14253
622	23468	14201
623	23497	14158
624	23517	14110
625	23539	14063
626	23556	14013
627	23572	13963
628	23592	13915
629	23613	13868
630	23634	13821
631	23653	13772
632	23670	13723
633	23686	13674
634	23701	13623
635	23717	13574
636	23731	13523
637	23745	13473
638	23760	13423
639	23776	13374
640	23790	13324
641	23805	13274
642	23821	13225
643	23837	13177
644	23855	13129
645	23872	13081
646	23890	13034
647	23905	12985
648	23920	12936
649	23934	12887
650	23948	12838
651	23962	12789
652	23976	12740
653	23990	12692
654	24005	12643
655	24020	12595
656	24034	12547
657	24050	12500
658	24063	12451
659	24077	12403
660	24090	12354
661	24103	12306
662	24117	12258
663	24130	12210
664	24144	12162
665	24157	12115
666	24171	12067
667	24185	12020
668	24197	11972
669	24211	11924
670	24224	11877
671	24237	11830
672	24251	11783
673	24264	11736
674	24278	11689
675	24292	11642
676	24305	11596
677	24320	11550
678	24334	11504
679	24352	11459
680	24373	11417
681	24391	11373
682	24413	11330
683	24428	11285
684	24450	11243
685	24467	11199
686	24483	11154
687	24500	11110
688	24516	11066
689	24535	11023
690	24552	10979
691	24569	10935
692	24584	10891
693	24599	10846
694	24613	10801
695	24627	10756
696	24642	10712
697	24656	10668
698	24672	10624
699	24687	10580
700	24701	10535
701	24715	10491
702	24731	10448
703	24751	10406
704	24766	10363
705	24784	10321
706	24800	10277
707	24815	10234
708	24831	10191
709	24845	10148
710	24860	10105
711	24874	10061
712	24889	10018
713	24905	9976
714	24920	9933
715	24936	9891
716	24954	9849
717	24970	9807
718	24986	9765
719	25002	9723
720	25018	9681
721	25043	9642
722	25059	9601
723	25081	9561
724	25100	9520
725	25120	9480
726	25135	9438
727	25152	9397
728	25165	9355
729	25181	9313
730	25195	9271
731	25209	9229
732	25222	9187
733	25234	9145
734	25249	9103
735	25263	9061
736	25278	9020
737	25292	8979
738	25306	8937
739	25322	8897
740	25336	8855
741	25351	8815
742	25367	8774
743	25384	8734
