Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist,Seconds,len_byte_ratio
All the Best Cowboys Have Daddy Issues,,2555492,211743651,1.99,TV Shows,"Lost, Season 1",Lost,2555.492,0.012068801061714006
Beira Mar,Gilberto Gil,295444,9597994,0.99,Latin,Unplugged,Eric Clapton,295.444,0.030781848790486847
Brasil,"Milton Nascimento, Fernando Brant",155428,5252560,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento,155.428,0.029590904244787303
Ben Franklin,,1271938,264168080,1.99,Comedy,"The Office, Season 3",The Office,1271.938,0.00481488149514506
O Último Romântico (Ao Vivo),,231993,7692697,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,231.993,0.030157563725699842
Freewheel Burning,,265952,8713599,0.99,Metal,Living After Midnight,Judas Priest,265.952,0.03052148716047181
That's The Way,Robert Plant,343431,11248455,0.99,Rock,BBC Sessions [Disc 2] [Live],Led Zeppelin,343.431,0.030531392977968974
Mellowship Slinky In B Major,Anthony Kiedis/Chad Smith/Flea/John Frusciante,240091,7971384,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,240.091,0.03011911106026256
"Diga Lá, Coração",,255921,8280636,0.99,Latin,Meus Momentos,Gonzaguinha,255.921,0.030905959397321655
Come As You Are,Kurt Cobain,219219,7123357,0.99,Rock,Nevermind,Nirvana,219.219,0.030774675479552687
The Spirit Of Radio,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,299154,9862012,0.99,Rock,Retrospective I (1974-1980),Rush,299.154,0.030333972418609915
Midnight Blue,David Coverdale/Earl Slick,298631,9750990,0.99,Rock,Into The Light,David Coverdale,298.631,0.030625710825259795
Se Liga,,410409,13559173,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,410.409,0.030267996433115795
Carnival Of Sorts,R.E.M.,233482,7669658,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,233.482,0.030442296123243045
Paranoid,"A. F. Iommi, W. Ward, T. Butler, J. Osbourne",176352,5729813,0.99,Metal,Tribute,Ozzy Osbourne,176.352,0.030777967797552905
Got That Feeling,Mike Patton,140852,4643227,0.99,Alternative & Punk,Album Of The Year,Faith No More,140.852,0.03033493731837793
What Is And What Should Never Be,"Jimmy Page, Robert Plant",287973,9369385,0.99,Rock,Led Zeppelin II,Led Zeppelin,287.973,0.030735528532555765
