Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist,Seconds,len_byte_ratio
Alô Alô Marciano,Vários,238106,8013065,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,238.106,0.02971472214439793
Only A Dream In Rio,Vários,371356,12192989,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,371.356,0.03045651890606971
Abrir A Porta,Vários,271960,8991141,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,271.96,0.030247551450922637
Alice,Vários,165982,5594341,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,165.982,0.029669625072908497
Momentos Que Marcam,Vários,280137,9313740,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,280.137,0.030077820510342784
Um Jantar Pra Dois,Vários,237714,7819755,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,237.714,0.030399162122086945
Bumbo Da Mangueira,Vários,270158,9073350,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,270.158,0.029774890200422115
Mr Funk Samba,Vários,213890,7102545,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,213.89,0.030114557528322594
Santo Antonio,Vários,162716,5492069,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,162.716,0.029627450055707605
Por Você,Vários,205557,6792493,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,205.557,0.030262379364984257
Free Speech For The Dumb,Molaney/Morris/Roberts/Wainwright,155428,5076048,0.99,Metal,Garage Inc. (Disc 1),Metallica,155.428,0.030619883815125468
It's Electric,Harris/Tatler,213995,6978601,0.99,Metal,Garage Inc. (Disc 1),Metallica,213.995,0.030664455526258058
Sabbra Cadabra,Black Sabbath,380342,12418147,0.99,Metal,Garage Inc. (Disc 1),Metallica,380.342,0.03062791896407733
Turn The Page,Seger,366524,11946327,0.99,Metal,Garage Inc. (Disc 1),Metallica,366.524,0.030680894638159494
Loverman,Cave,472764,15446975,0.99,Metal,Garage Inc. (Disc 1),Metallica,472.764,0.030605604009846587
Astronomy,A.Bouchard/J.Bouchard/S.Pearlman,397531,13065612,0.99,Metal,Garage Inc. (Disc 1),Metallica,397.531,0.030425746608731378
Whiskey In The Jar,Traditional,305005,9943129,0.99,Metal,Garage Inc. (Disc 1),Metallica,305.005,0.030674951516771028
Tuesday's Gone,Collins/Van Zandt,545750,17900787,0.99,Metal,Garage Inc. (Disc 1),Metallica,545.75,0.030487486388168297
The More I See,Molaney/Morris/Roberts/Wainwright,287973,9378873,0.99,Metal,Garage Inc. (Disc 1),Metallica,287.973,0.030704435383654305
Under Pressure,Queen & David Bowie,236617,7739042,0.99,Rock,Greatest Hits II,Queen,236.617,0.030574456114852457
Radio GA GA,Roger Taylor,343745,11358573,0.99,Rock,Greatest Hits II,Queen,343.745,0.030263044486310033
I Want It All,Queen,241684,7876564,0.99,Rock,Greatest Hits II,Queen,241.684,0.030683937818571653
I Want To Break Free,John Deacon,259108,8552861,0.99,Rock,Greatest Hits II,Queen,259.108,0.030294891966559493
Innuendo,Queen,387761,12664591,0.99,Rock,Greatest Hits II,Queen,387.761,0.030617727805027417
It's A Hard Life,Freddie Mercury,249417,8112242,0.99,Rock,Greatest Hits II,Queen,249.417,0.030745754379615402
Breakthru,Queen,249234,8150479,0.99,Rock,Greatest Hits II,Queen,249.234,0.03057906167232625
Who Wants To Live Forever,Brian May,297691,9577577,0.99,Rock,Greatest Hits II,Queen,297.691,0.031082078483942233
Headlong,Queen,273057,8921404,0.99,Rock,Greatest Hits II,Queen,273.057,0.030606953793371538
The Miracle,Queen,294974,9671923,0.99,Rock,Greatest Hits II,Queen,294.974,0.030497968191020543
I'm Going Slightly Mad,Queen,248032,8192339,0.99,Rock,Greatest Hits II,Queen,248.032,0.0302760908697748
The Invisible Man,Queen,238994,7920353,0.99,Rock,Greatest Hits II,Queen,238.994,0.030174665194846746
Hammer To Fall,Brian May,220316,7255404,0.99,Rock,Greatest Hits II,Queen,220.316,0.030365779769121058
Friends Will Be Friends,Freddie Mercury & John Deacon,248920,8114582,0.99,Rock,Greatest Hits II,Queen,248.92,0.030675640470451834
The Show Must Go On,Queen,263784,8526760,0.99,Rock,Greatest Hits II,Queen,263.784,0.030936017901289588
One Vision,Queen,242599,7936928,0.99,Rock,Greatest Hits II,Queen,242.599,0.030565856210362497
Detroit Rock City,"Paul Stanley, B. Ezrin",218880,7146372,0.99,Rock,Greatest Kiss,Kiss,218.88,0.030628128510522542
Hard Luck Woman,Paul Stanley,216032,7109267,0.99,Rock,Greatest Kiss,Kiss,216.032,0.03038738030235747
Love Gun,Paul Stanley,196257,6424915,0.99,Rock,Greatest Kiss,Kiss,196.257,0.030546240689565542
Deuce,Gene Simmons,185077,6097210,0.99,Rock,Greatest Kiss,Kiss,185.077,0.03035437519783639
Goin' Blind,"Gene Simmons, S. Coronel",216215,7045314,0.99,Rock,Greatest Kiss,Kiss,216.215,0.030689192845059853
Shock Me,Ace Frehley,227291,7529336,0.99,Rock,Greatest Kiss,Kiss,227.291,0.030187389698108837
Do You Love Me,"Paul Stanley, B. Ezrin, K. Fowley",214987,6976194,0.99,Rock,Greatest Kiss,Kiss,214.987,0.03081723358037348
She,"Gene Simmons, S. Coronel",248346,8229734,0.99,Rock,Greatest Kiss,Kiss,248.346,0.030176673996996743
I Was Made For Loving You,"Paul Stanley, Vincent Poncia, Desmond Child",271360,9018078,0.99,Rock,Greatest Kiss,Kiss,271.36,0.030090668987338545
Shout It Out Loud,"Paul Stanley, Gene Simmons, B. Ezrin",219742,7194424,0.99,Rock,Greatest Kiss,Kiss,219.742,0.030543376370366828
Calling Dr. Love,Gene Simmons,225332,7395034,0.99,Rock,Greatest Kiss,Kiss,225.332,0.03047071859304501
Beth,"S. Penridge, Bob Ezrin, Peter Criss",166974,5360574,0.99,Rock,Greatest Kiss,Kiss,166.974,0.031148529989512317
Strutter,"Paul Stanley, Gene Simmons",192496,6317021,0.99,Rock,Greatest Kiss,Kiss,192.496,0.030472591431942368
Rock And Roll All Nite,"Paul Stanley, Gene Simmons",173609,5735902,0.99,Rock,Greatest Kiss,Kiss,173.609,0.03026707917952573
Plaster Caster,Gene Simmons,207333,6801116,0.99,Rock,Greatest Kiss,Kiss,207.333,0.03048514390873498
God Gave Rock 'n' Roll To You,"Paul Stanley, Gene Simmons, Rus Ballard, Bob Ezrin",320444,10441590,0.99,Rock,Greatest Kiss,Kiss,320.444,0.030689195802554976
Heart of the Night,,273737,9098263,0.99,Jazz,Heart of the Night,Spyro Gyra,273.737,0.030086731939931832
De La Luz,,315219,10518284,0.99,Jazz,Heart of the Night,Spyro Gyra,315.219,0.02996867169587739
Westwood Moon,,295627,9765802,0.99,Jazz,Heart of the Night,Spyro Gyra,295.627,0.030271656132286932
Midnight,,266866,8851060,0.99,Jazz,Heart of the Night,Spyro Gyra,266.866,0.0301507390075313
Playtime,,273580,9070880,0.99,Jazz,Heart of the Night,Spyro Gyra,273.58,0.0301602490607306
Valentino's,,296124,9848545,0.99,Jazz,Heart of the Night,Spyro Gyra,296.124,0.030067791739795065
As We Sleep,,316865,10429398,0.99,Jazz,Heart of the Night,Spyro Gyra,316.865,0.030381906990221294
When Evening Falls,,298135,9863942,0.99,Jazz,Heart of the Night,Spyro Gyra,298.135,0.03022473165393714
J Squared,,288757,9480777,0.99,Jazz,Heart of the Night,Spyro Gyra,288.757,0.030457102830284903
Best Thing,,274259,9069394,0.99,Jazz,Heart of the Night,Spyro Gyra,274.259,0.030240057935513664
Maria,Billie Joe Armstrong -Words Green Day -Music,167262,5484747,0.99,Alternative & Punk,International Superhits,Green Day,167.262,0.030495846025349937
Poprocks And Coke,Billie Joe Armstrong -Words Green Day -Music,158354,5243078,0.99,Alternative & Punk,International Superhits,Green Day,158.354,0.03020248792789274
Longview,Billie Joe Armstrong -Words Green Day -Music,234083,7714939,0.99,Alternative & Punk,International Superhits,Green Day,234.083,0.03034152311508879
Welcome To Paradise,Billie Joe Armstrong -Words Green Day -Music,224208,7406008,0.99,Alternative & Punk,International Superhits,Green Day,224.208,0.0302737993261687
Basket Case,Billie Joe Armstrong -Words Green Day -Music,181629,5951736,0.99,Alternative & Punk,International Superhits,Green Day,181.629,0.03051697857566263
When I Come Around,Billie Joe Armstrong -Words Green Day -Music,178364,5839426,0.99,Alternative & Punk,International Superhits,Green Day,178.364,0.030544782997506948
She,Billie Joe Armstrong -Words Green Day -Music,134164,4425128,0.99,Alternative & Punk,International Superhits,Green Day,134.164,0.030318671007934686
J.A.R. (Jason Andrew Relva),Mike Dirnt -Words Green Day -Music,170997,5645755,0.99,Alternative & Punk,International Superhits,Green Day,170.997,0.03028771174094519
Geek Stink Breath,Billie Joe Armstrong -Words Green Day -Music,135888,4408983,0.99,Alternative & Punk,International Superhits,Green Day,135.888,0.030820713076008685
Brain Stew,Billie Joe Armstrong -Words Green Day -Music,193149,6305550,0.99,Alternative & Punk,International Superhits,Green Day,193.149,0.03063158645954754
Jaded,Billie Joe Armstrong -Words Green Day -Music,90331,2950224,0.99,Alternative & Punk,International Superhits,Green Day,90.331,0.030618353047090662
Walking Contradiction,Billie Joe Armstrong -Words Green Day -Music,151170,4932366,0.99,Alternative & Punk,International Superhits,Green Day,151.17,0.030648577173713387
Stuck With Me,Billie Joe Armstrong -Words Green Day -Music,135523,4431357,0.99,Alternative & Punk,International Superhits,Green Day,135.523,0.030582731204008163
Hitchin' A Ride,Billie Joe Armstrong -Words Green Day -Music,171546,5616891,0.99,Alternative & Punk,International Superhits,Green Day,171.546,0.03054109470879887
Nice Guys Finish Last,Billie Joe Armstrong -Words Green Day -Music,170187,5604618,0.99,Alternative & Punk,International Superhits,Green Day,170.187,0.030365495025709156
Warning,Billie Joe Armstrong -Words Green Day -Music,221910,7343176,0.99,Alternative & Punk,International Superhits,Green Day,221.91,0.03021989395324312
Waiting,Billie Joe Armstrong -Words Green Day -Music,192757,6316430,0.99,Alternative & Punk,International Superhits,Green Day,192.757,0.030516763424909325
Macy's Day Parade,Billie Joe Armstrong -Words Green Day -Music,213420,7075573,0.99,Alternative & Punk,International Superhits,Green Day,213.42,0.030162928147303404
Into The Light,David Coverdale,76303,2452653,0.99,Rock,Into The Light,David Coverdale,76.303,0.031110393520811953
River Song,David Coverdale,439510,14359478,0.99,Rock,Into The Light,David Coverdale,439.51,0.030607658579232477
Don't You Cry,David Coverdale,347036,11269612,0.99,Rock,Into The Light,David Coverdale,347.036,0.03079396167321466
Love Is Blind,David Coverdale/Earl Slick,344999,11409720,0.99,Rock,Into The Light,David Coverdale,344.999,0.030237288908053835
Slave,David Coverdale/Earl Slick,291892,9425200,0.99,Rock,Into The Light,David Coverdale,291.892,0.030969316300980352
Cry For Love,Bossi/David Coverdale/Earl Slick,293015,9567075,0.99,Rock,Into The Light,David Coverdale,293.015,0.030627438375888136
Living On Love,Bossi/David Coverdale/Earl Slick,391549,12785876,0.99,Rock,Into The Light,David Coverdale,391.549,0.03062355680596308
Too Many Tears,Adrian Vanderberg/David Coverdale,359497,11810238,0.99,Rock,Into The Light,David Coverdale,359.497,0.03043943737628319
Don't Lie To Me,David Coverdale/Earl Slick,283585,9288007,0.99,Rock,Into The Light,David Coverdale,283.585,0.03053238439635112
Wherever You May Go,David Coverdale,239699,7803074,0.99,Rock,Into The Light,David Coverdale,239.699,0.030718534772321778
Grito De Alerta,Gonzaga Jr.,202213,6539422,0.99,Latin,Meus Momentos,Gonzaguinha,202.213,0.030922151835437443
Não Dá Mais Pra Segurar (Explode Coração),,219768,7083012,0.99,Latin,Meus Momentos,Gonzaguinha,219.768,0.031027478140655415
Começaria Tudo Outra Vez,,196545,6473395,0.99,Latin,Meus Momentos,Gonzaguinha,196.545,0.030361966170765108
O Que É O Que É ?,,259291,8650647,0.99,Latin,Meus Momentos,Gonzaguinha,259.291,0.029973596194596774
Sangrando,Gonzaga Jr/Gonzaguinha,169717,5494406,0.99,Latin,Meus Momentos,Gonzaguinha,169.717,0.030889053338977863
Lindo Lago Do Amor,Gonzaga Jr.,249678,8353191,0.99,Latin,Meus Momentos,Gonzaguinha,249.678,0.029890134201408777
Eu Apenas Queria Que Voçê Soubesse,,155637,5130056,0.99,Latin,Meus Momentos,Gonzaguinha,155.637,0.03033826531328313
Com A Perna No Mundo,Gonzaga Jr.,227448,7747108,0.99,Latin,Meus Momentos,Gonzaguinha,227.448,0.029359084706189715
E Vamos À Luta,,222406,7585112,0.99,Latin,Meus Momentos,Gonzaguinha,222.406,0.029321386421189297
Um Homem Também Chora (Guerreiro Menino),,207229,6854219,0.99,Latin,Meus Momentos,Gonzaguinha,207.229,0.03023378739430415
Comportamento Geral,Gonzaga Jr,181577,5997444,0.99,Latin,Meus Momentos,Gonzaguinha,181.577,0.030275730794651855
Ponto De Interrogação,,180950,5946265,0.99,Latin,Meus Momentos,Gonzaguinha,180.95,0.030430867107335446
"Espere Por Mim, Morena",Gonzaguinha,207072,6796523,0.99,Latin,Meus Momentos,Gonzaguinha,207.072,0.030467343375428876
Balada Do Louco,Arnaldo Baptista - Rita Lee,241057,7852328,0.99,Alternative & Punk,Minha História,Os Mutantes,241.057,0.03069879403916902
Ando Meio Desligado,Arnaldo Baptista - Rita Lee -  Sérgio Dias,287817,9484504,0.99,Alternative & Punk,Minha História,Os Mutantes,287.817,0.030346025474816605
Top Top,Os Mutantes - Arnolpho Lima Filho,146938,4875374,0.99,Alternative & Punk,Minha História,Os Mutantes,146.938,0.030138816016986595
Baby,Caetano Veloso,177188,5798202,0.99,Alternative & Punk,Minha História,Os Mutantes,177.188,0.03055912850224949
A E O Z,Mutantes,518556,16873005,0.99,Alternative & Punk,Minha História,Os Mutantes,518.556,0.030732877753547754
Panis Et Circenses,Caetano Veloso - Gilberto Gil,125152,4069688,0.99,Alternative & Punk,Minha História,Os Mutantes,125.152,0.03075223456933308
Chão De Estrelas,Orestes Barbosa-Sílvio Caldas,284813,9433620,0.99,Alternative & Punk,Minha História,Os Mutantes,284.813,0.030191273339396755
Vida De Cachorro,Rita Lee - Arnaldo Baptista - Sérgio Baptista,195186,6411149,0.99,Alternative & Punk,Minha História,Os Mutantes,195.186,0.03044477674750657
Bat Macumba,Gilberto Gil - Caetano Veloso,187794,6295223,0.99,Alternative & Punk,Minha História,Os Mutantes,187.794,0.029831191047560983
Desculpe Babe,Arnaldo Baptista - Rita Lee,170422,5637959,0.99,Alternative & Punk,Minha História,Os Mutantes,170.422,0.030227605415363963
Rita Lee,Arnaldo Baptista/Rita Lee/Sérgio Dias,189257,6270503,0.99,Alternative & Punk,Minha História,Os Mutantes,189.257,0.03018210819769961
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",Arnaldo Baptista - Rita Lee - Arnolpho Lima Filho,222955,7346254,0.99,Alternative & Punk,Minha História,Os Mutantes,222.955,0.030349481518063492
Banho De Lua,B. de Filippi - F. Migliaci - Versão: Fred Jorge,221831,7232123,0.99,Alternative & Punk,Minha História,Os Mutantes,221.831,0.030673012613308705
Meu Refrigerador Não Funciona,Arnaldo Baptista - Rita Lee - Sérgio Dias,382981,12495906,0.99,Alternative & Punk,Minha História,Os Mutantes,382.981,0.030648518002616216
Burn,Coverdale/Lord/Paice,453955,14775708,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,453.955,0.030723062475246532
Stormbringer,Coverdale,277133,9050022,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,277.133,0.030622356498138898
Gypsy,Coverdale/Hughes/Lord/Paice,339173,11046952,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,339.173,0.030702858127744197
Lady Double Dealer,Coverdale,233586,7608759,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,233.586,0.030699618689460396
Mistreated,Coverdale,758648,24596235,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,758.648,0.030844070240831575
Smoke On The Water,Gillan/Glover/Lord/Paice,618031,20103125,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,618.031,0.030743031245142237
You Fool No One,Coverdale/Lord/Paice,804101,26369966,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple,804.101,0.030493061689954398
Custard Pie,Jimmy Page/Robert Plant,253962,8348257,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin,253.962,0.030420960926334683
The Rover,Jimmy Page/Robert Plant,337084,11011286,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin,337.084,0.03061259148114035
In My Time Of Dying,John Bonham/John Paul Jones,666017,21676727,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin,666.017,0.030724979836669993
Houses Of The Holy,Jimmy Page/Robert Plant,242494,7972503,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin,242.494,0.030416294606599708
Trampled Under Foot,John Paul Jones,336692,11154468,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin,336.692,0.030184496472624243
Kashmir,John Bonham,508604,16686580,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin,508.604,0.030479822707828685
Imperatriz,Guga/Marquinho Lessa/Tuninho Professor,339173,11348710,0.99,Latin,Sambas De Enredo 2001,Various Artists,339.173,0.029886480489853033
Beija-Flor,Caruso/Cleber/Deo/Osmar,327000,10991159,0.99,Latin,Sambas De Enredo 2001,Various Artists,327.0,0.029751184565704126
Mocidade,"Domenil/J. Brito/Joaozinho/Rap, Marcelo Do",261720,8817757,0.99,Latin,Sambas De Enredo 2001,Various Artists,261.72,0.029681017519534728
Unidos Da Tijuca,"Douglas/Neves, Vicente Das/Silva, Gilmar L./Toninho Gentil/Wantuir",338834,11440689,0.99,Latin,Sambas De Enredo 2001,Various Artists,338.834,0.029616572917942268
Salgueiro,"Augusto/Craig Negoescu/Rocco Filho/Saara, Ze Carlos Da",305920,10294741,0.99,Latin,Sambas De Enredo 2001,Various Artists,305.92,0.02971614341730404
Mangueira,Bizuca/Clóvis Pê/Gilson Bernini/Marelo D'Aguia,298318,9999506,0.99,Latin,Sambas De Enredo 2001,Various Artists,298.318,0.02983327376372393
Grande Rio,Carlos Santos/Ciro/Claudio Russo/Zé Luiz,307252,10251428,0.99,Latin,Sambas De Enredo 2001,Various Artists,307.252,0.029971629318373987
Portela,Flavio Bororo/Paulo Apparicio/Wagner Alves/Zeca Sereno,319608,10712216,0.99,Latin,Sambas De Enredo 2001,Various Artists,319.608,0.029835843489339646
Caprichosos,Gule/Jorge 101/Lequinho/Luiz Piao,351320,11870956,0.99,Latin,Sambas De Enredo 2001,Various Artists,351.32,0.029594920577584484
Tradição,Adalto Magalha/Lourenco,269165,9114880,0.99,Latin,Sambas De Enredo 2001,Various Artists,269.165,0.029530284545709874
Império Serrano,Arlindo Cruz/Carlos Sena/Elmo Caetano/Mauricao,334942,11161196,0.99,Latin,Sambas De Enredo 2001,Various Artists,334.942,0.030009507941622028
Tuiuti,"Claudio Martins/David Lima/Kleber Rodrigues/Livre, Cesare Som",259657,8749492,0.99,Latin,Sambas De Enredo 2001,Various Artists,259.657,0.029676808665005924
(Da Le) Yaleo,Santana,353488,11769507,0.99,Rock,Supernatural,Santana,353.488,0.030034223183689854
Love Of My Life,Carlos Santana & Dave Matthews,347820,11634337,0.99,Rock,Supernatural,Santana,347.82,0.029895988056732412
Put Your Lights On,E. Shrody,285178,9394769,0.99,Rock,Supernatural,Santana,285.178,0.03035497732834091
Africa Bamba,"I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo",282827,9492487,0.99,Rock,Supernatural,Santana,282.827,0.029794826160941805
Do You Like The Way,L. Hill,354899,11741062,0.99,Rock,Supernatural,Santana,354.899,0.030227163437174593
Maria Maria,"W. Jean, J. Duplessis, Carlos Santana, K. Perazzo & R. Rekow",262635,8664601,0.99,Rock,Supernatural,Santana,262.635,0.030311263034500956
Migra,"R. Taha, Carlos Santana & T. Lindsay",329064,10963305,0.99,Rock,Supernatural,Santana,329.064,0.03001503652411385
Corazon Espinado,F. Olivera,276114,9206802,0.99,Rock,Supernatural,Santana,276.114,0.029990218101790395
Wishing It Was,"Eale-Eye Cherry, M. Simpson, J. King & M. Nishita",292832,9771348,0.99,Rock,Supernatural,Santana,292.832,0.029968434242644924
El Farol,Carlos Santana & KC Porter,291160,9599353,0.99,Rock,Supernatural,Santana,291.16,0.03033121086389885
The Calling,Carlos Santana & C. Thompson,747755,24703884,0.99,Rock,Supernatural,Santana,747.755,0.030268722116732736
Solução,,247431,8100449,0.99,Latin,The Best of Ed Motta,Ed Motta,247.431,0.030545343844520224
Manuel,,230269,7677671,0.99,Latin,The Best of Ed Motta,Ed Motta,230.269,0.029992037950050218
Entre E Ouça,,286302,9391004,0.99,Latin,The Best of Ed Motta,Ed Motta,286.302,0.030486836125296082
Um Contrato Com Deus,,202501,6636465,0.99,Latin,The Best of Ed Motta,Ed Motta,202.501,0.030513383254488647
Vamos Dançar,,226194,7617432,0.99,Latin,The Best of Ed Motta,Ed Motta,226.194,0.0296942591676565
Um Love,,181603,6095524,0.99,Latin,The Best of Ed Motta,Ed Motta,181.603,0.0297928447168775
Seis Da Tarde,,238445,7935898,0.99,Latin,The Best of Ed Motta,Ed Motta,238.445,0.030046379124328462
Baixo Rio,,198008,6521676,0.99,Latin,The Best of Ed Motta,Ed Motta,198.008,0.030361520566185747
Sombras Do Meu Destino,,280685,9161539,0.99,Latin,The Best of Ed Motta,Ed Motta,280.685,0.030637319777823354
Do You Have Other Loves?,,295235,9604273,0.99,Latin,The Best of Ed Motta,Ed Motta,295.235,0.030739963347564153
Já!!!,,217782,7103608,0.99,Latin,The Best of Ed Motta,Ed Motta,217.782,0.030657941710747552
A Rua,,238027,7930264,0.99,Latin,The Best of Ed Motta,Ed Motta,238.027,0.030015015893544023
Now's The Time,Miles Davis,197459,6358868,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,197.459,0.0310525395400565
Jeru,Miles Davis,193410,6222536,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,193.41,0.031082182569936116
Walkin',Miles Davis,807392,26411634,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,807.392,0.030569558854253394
Generique,Miles Davis,168777,5437017,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,168.777,0.031042205680063165
Summertime,Miles Davis,200437,6461370,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,200.437,0.031020820661872017
So What,Miles Davis,564009,18360449,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,564.009,0.030718693208428616
E.S.P.,Miles Davis,330684,11079866,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,330.684,0.029845487301019706
Miles Runs The Voodoo Down,Miles Davis,843964,27967919,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,843.964,0.030176145747561698
Little Church (Live),Miles Davis,196101,6273225,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,196.101,0.031259997847996844
Black Satin,Miles Davis,316682,10529483,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,316.682,0.030075740660771285
Jean Pierre (Live),Miles Davis,243461,7955114,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,243.461,0.030604338291066603
Time After Time,Miles Davis,220734,7292197,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,220.734,0.030269889856239483
Portia,Miles Davis,378775,12520126,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,378.775,0.030253289783185887
Space Truckin',Blackmore/Gillan/Glover/Lord/Paice,1196094,39267613,0.99,Rock,The Final Concerts (Disc 2),Deep Purple,1196.094,0.030460063869937805
Going Down / Highway Star,Gillan/Glover/Lord/Nix - Blackmore/Paice,913658,29846063,0.99,Rock,The Final Concerts (Disc 2),Deep Purple,913.658,0.030612345755619427
Mistreated (Alternate Version),Blackmore/Coverdale,854700,27775442,0.99,Rock,The Final Concerts (Disc 2),Deep Purple,854.7,0.0307717875380705
You Fool No One (Alternate Version),Blackmore/Coverdale/Lord/Paice,763924,24887209,0.99,Rock,The Final Concerts (Disc 2),Deep Purple,763.924,0.030695446805626136
Jeepers Creepers,,185965,5991903,0.99,Jazz,Up An' Atom,Gene Krupa,185.965,0.031036049815893214
Blue Rythm Fantasy,,348212,11204006,0.99,Jazz,Up An' Atom,Gene Krupa,348.212,0.031079240764419442
Drum Boogie,,191555,6185636,0.99,Jazz,Up An' Atom,Gene Krupa,191.555,0.03096771294010834
Let Me Off Uptown,,187637,6034685,0.99,Jazz,Up An' Atom,Gene Krupa,187.637,0.03109308936589068
Opus No.1,,179800,5846041,0.99,Jazz,Up An' Atom,Gene Krupa,179.8,0.03075585682686796
How High The Moon,,201430,6529487,0.99,Jazz,Up An' Atom,Gene Krupa,201.43,0.030849284178067895
Disc Jockey Jump,,193149,6260820,0.99,Jazz,Up An' Atom,Gene Krupa,193.149,0.03085043173258455
Up An' Atom,,179565,5822645,0.99,Jazz,Up An' Atom,Gene Krupa,179.565,0.030839077429587414
Lemon Drop,,194089,6287531,0.99,Jazz,Up An' Atom,Gene Krupa,194.089,0.030868873648495727
Coronation Drop,,176222,5899898,0.99,Jazz,Up An' Atom,Gene Krupa,176.222,0.029868651966525522
Overtime,,163030,5432236,0.99,Jazz,Up An' Atom,Gene Krupa,163.03,0.030011582707378692
Imagination,,289306,9444385,0.99,Jazz,Up An' Atom,Gene Krupa,289.306,0.03063259280514295
Midget,,217025,7257663,0.99,Jazz,Up An' Atom,Gene Krupa,217.025,0.0299028764493474
I'm Coming Virginia,,280163,9209827,0.99,Jazz,Up An' Atom,Gene Krupa,280.163,0.03042000680360228
Payin' Them Dues Blues,,198556,6536918,0.99,Jazz,Up An' Atom,Gene Krupa,198.556,0.030374558775251578
Jungle Drums,,199627,6546063,0.99,Jazz,Up An' Atom,Gene Krupa,199.627,0.030495734611781157
Showcase,,201560,6697510,0.99,Jazz,Up An' Atom,Gene Krupa,201.56,0.030094766562498602
Swedish Schnapps,,191268,6359750,0.99,Jazz,Up An' Atom,Gene Krupa,191.268,0.03007476708990133
Samba Da Bênção,,409965,13490008,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,409.965,0.030390271080639835
Onde Anda Você,,168437,5550356,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,168.437,0.030347062422662618
Samba Da Volta,,170631,5676090,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,170.631,0.030061362663382715
Canto De Ossanha,,204956,6771624,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,204.956,0.03026689018764184
Pot-Pourri N.º 5,,219898,7117769,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,219.898,0.030894231043463196
Formosa,,137482,4560873,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,137.482,0.030143790454152088
Como É Duro Trabalhar,,226168,7541177,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,226.168,0.029991074337600086
Minha Namorada,,244297,7927967,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,244.297,0.030814583360399963
Por Que Será,,162142,5371483,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,162.142,0.030185704767193716
Berimbau,,190667,6335548,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,190.667,0.0300947921158517
Deixa,,179826,5932799,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,179.826,0.03031048245524583
